mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.06379223729452592,0.04465625557307765,0.023221252898000377,0.0,9.74341799100549e-05,0.0005,0.0,0,0
0.0622417827009702,0.04365596293226276,0.022701100724776636,0.00022286639801560762,0.00010012135576276643,0.0005,0.006000000000000005,0,24
0.05782462005661803,0.040806182419635885,0.021219214858210662,0.00017756536618530793,0.00012440232876622062,0.0005,0.012500000000000002,0,48
0.04180522545001728,0.030471095792852575,0.015844969812283338,9.584997484965136e-05,0.00032269632356977175,0.0005,0.018099999999999995,0,72
0.04312843063118801,0.03132477600413678,0.016288883522151125,5.697677318656271e-05,0.00016056696853554553,0.0005,0.023299999999999987,0,96
0.011581021169241881,0.011101801338667056,0.004733808090807633,3.1534135950096836e-05,0.0014763295418964426,0.00044,0.02792,1,120
0.0,0.0028000000000000004,0.0011939200000000002,2.4706603445174313e-05,0.0014221109550353074,0.00044,0.02778000000000001,1,144
0.00641089149008428,0.007395617845495653,0.0031534914493193465,2.3559967720692692e-05,0.0014943597558094949,0.00044,0.025140000000000013,1,168
0.0,0.0028000000000000004,0.0011939200000000002,1.8541355526512792e-05,0.0014686208386376612,0.00044,0.022639999999999993,1,192
0.0,0.0028000000000000004,0.0011939200000000002,1.6888994226372283e-05,0.0014975342308550632,0.00044,0.020000000000000018,1,216
0.0,0.0028000000000000004,0.0011939200000000002,1.506923050305114e-05,0.0015147652263528477,0.00044,0.017499999999999998,1,240
