exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.5,0.98,5.5,0.1,0.0,0.0,0.0,0.49,0.5,5.5,0.1,0.03,1.6666666666666667,0.0,0.98,0,CHO03,0.07834355936526884,0.0003422047516705804
2.2,0.97,0.5,2.2,0.05,0.15,8.333333333333334,1.8097397935325983,1.867073258706733,4.434157874638098,1.1658421253619022,0.03,1.6666666666666667,0.004710205828505578,0.969292332313812,24,CHO03,0.10639885438155273,0.002101319128397401
4.5,0.96,0.4,4.5,0.15,0.3,16.666666666666668,5.732563946392769,5.990351038998064,0.2973016523987173,4.406698347601283,0.0348,1.9333333333333333,0.021850771701090926,0.9569662794505592,48,CHO03,0.050790241913764786,0.01172225482546177
7.8,0.95,0.3,6.2,0.35,0.5,27.77777777777778,9.630463253605367,10.307940911232311,0.0,7.998261997534302,0.03900082758620689,2.1667126436781605,0.24251963605008048,0.9342761407480796,72,CHO03,0.07160130042330788,0.04331561801401229
11.5,0.94,0.3,7.8,0.7,0.75,41.66666666666667,7.5033795606498455,8.451786486888485,1.4168059423406478,7.251405594676339,0.042528931786392846,2.3627184325773807,0.6482713626433662,0.8877862180132056,96,CHO03,0.06999313765492167,0.08310830883670461
14.2,0.91,0.3,9.0,1.2,1.05,58.33333333333334,11.070390476115046,12.659316044134464,0.0,9.538766788265054,0.04544802172120245,2.5248900956223586,1.2704862664651089,0.8744856702779273,120,CHO03,0.042271445812528154,0.07831802521947195
16.5,0.87,0.3,9.5,1.85,1.4,77.77777777777779,8.887188346042048,10.488720044267168,0.6625819151951585,8.381468346329285,0.04785059783920245,2.6583665466223585,1.9310586569643275,0.8473091386302687,144,CHO03,0.047959661442352,0.11207936746139735
17.8,0.82,0.3,9.2,2.6,1.75,97.22222222222223,11.698751832115821,14.248044419099841,0.0,10.413517665307559,0.049802473046734026,2.7668040581518905,2.4490301317222714,0.8210777204226966,168,CHO03,0.05702180405460133,0.16620354666013304
18.0,0.78,0.3,8.8,3.4,2.1,116.66666666666669,9.523182443506368,12.421835907400864,0.5580969849175259,9.584176392565235,0.0514667085034397,2.859261583524428,3.080940276157232,0.7666485465189978,192,CHO03,0.04422966569228372,0.15017893830271323
