exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.4,0.97,4.0,0.1,0.0,0.02,1.1111111111111112,0.388,0.4,4.0,0.1,0.02,1.1111111111111112,0.0,0.97,0,CHO07,0.0508052460874564,0.0001147218515917571
0.9,0.97,3.2,0.4,0.005,0.03,1.6666666666666667,0.7316506127301519,0.7605189821960328,3.7803242311633043,0.2318054613020175,0.02,1.1111111111111112,0.002372792827062958,0.9620412242932816,12,CHO07,0.05162069436732363,0.00034255545339438673
2.0,0.96,2.0,1.0,0.02,0.05,2.777777777777778,1.3658128905181501,1.431567177475638,3.374234428166073,0.4754593431003562,0.02,1.1111111111111112,0.006978565634830993,0.9540683189779218,24,CHO07,0.056698626509478454,0.0008514137397780779
3.5,0.96,1.2,1.8,0.05,0.08,4.444444444444445,2.469794747065038,2.611030445729294,2.5628674403047813,0.9022795358171312,0.02096,1.1644444444444444,0.015867892836246907,0.9459080613574359,36,CHO07,0.060323755172822346,0.0019456763017549616
5.5,0.95,0.8,2.5,0.1,0.12,6.666666666666667,4.273684191070078,4.558807737546927,1.2490035334414769,1.6048166299351139,0.0223325,1.2406944444444445,0.03419957522069273,0.9374565537983682,48,CHO07,0.0651506752726074,0.005072239898306685
7.8,0.94,0.6,3.2,0.18,0.18,10.0,6.765416934335416,7.287896575082861,0.09394567198405412,2.595594200583152,0.02400785962264151,1.3337699790356397,0.08292622801252213,0.9283085818569667,60,CHO07,0.06698287804802425,0.018546723293395573
10.0,0.93,0.4,3.8,0.3,0.25,13.88888888888889,7.439173992917079,8.127377732521271,0.0,3.0052114062393507,0.025916969480960648,1.4398316378311473,0.2954342478948062,0.9153227815596189,72,CHO07,0.06748903848525675,0.03483408209303751
12.0,0.92,0.3,4.3,0.48,0.35,19.444444444444446,6.853588412559143,7.614406269854965,0.5518842634278587,2.9762192030990837,0.02796980700381594,1.5538781668786634,0.5509783756681661,0.9000817883453552,84,CHO07,0.06211354935642935,0.0371719636084179
13.5,0.91,0.2,4.7,0.72,0.48,26.666666666666668,9.284399165886049,10.43384642009731,0.0,3.9813803204747686,0.030083283303713942,1.671293516872997,0.6356237344951884,0.8898347543244228,96,CHO07,0.06716087050170459,0.05497241988707491
14.8,0.9,0.2,4.9,1.02,0.62,34.44444444444445,8.453945369725101,9.663346992151663,0.5311462454127176,3.887913718792078,0.032188671613593525,1.7882595340885292,0.8734909929255174,0.8748465077980944,108,CHO07,0.09446029004302536,0.08464120081039173
15.8,0.88,0.2,5.0,1.4,0.78,43.333333333333336,11.036463716074776,12.781002572035765,0.0,4.970855552970521,0.03402376724795721,1.8902092915531783,0.9806918139499322,0.8635053200147257,120,CHO07,0.1246080794265267,0.2009022547521344
16.5,0.86,0.2,5.0,1.85,0.95,52.77777777777778,10.166843236837783,11.966765717080104,0.12194042089327668,4.768604277006296,0.035696513045797705,1.9831396136554282,1.8131753567590827,0.8495898956496407,132,CHO07,0.07360919426533044,0.17307465631789354
17.0,0.84,0.2,4.9,2.38,1.12,62.222222222222236,10.37481615332911,12.442074025364393,0.0,4.826900166433801,0.03722788375942573,2.0682157644125407,2.524338761913609,0.8338494154735799,144,CHO07,0.05700039010954308,0.1738548773531985
17.2,0.81,0.2,4.7,3.0,1.3,72.22222222222223,9.613977312840705,11.828057817829153,0.0,4.696258793589899,0.038470021618871496,2.1372234232706386,3.223919570227842,0.8128111530152456,156,CHO07,0.04281683313597249,0.15844958911488005
17.0,0.78,0.2,4.4,3.7,1.48,82.22222222222223,8.935466563074794,11.351637922259345,0.0,4.6067768733038825,0.03949293136420629,2.194051742455905,3.8590873409003814,0.787152182290214,168,CHO07,0.06364296944863934,0.27369109043257467
16.5,0.74,0.2,4.0,4.48,1.65,91.66666666666667,8.307657377697778,10.985365694685106,0.0,4.550777415064478,0.04033516908034,2.240842726685556,4.574104675839622,0.7562476852015181,180,CHO07,0.04896103720968323,0.24414317421877918
15.8,0.7,0.2,3.5,5.34,1.82,101.11111111111113,7.707249100095724,10.710665901820278,0.0,4.523114575125244,0.04101894441364082,2.278830245202268,5.230621977214695,0.7195863609923522,192,CHO07,0.11004057212015969,0.6187812996482478
15.0,0.65,0.2,3.0,6.28,1.98,110.00000000000001,7.117174087570843,10.514693393405855,0.0,4.520264136817145,0.04155198305018089,2.3084435027878274,6.241991791252789,0.6768788990113854,204,CHO07,0.17586179594946685,1.1636719262299646
14.2,0.6,0.2,2.5,7.3,2.12,117.77777777777779,6.526056332452408,10.388740081792097,0.0,4.539907699676275,0.04192906619785321,2.3293925665474005,7.78064021059993,0.62818554329705,216,CHO07,0.22723728269300977,1.8509160246092193
