time_h,correction,correction_abs,original_titer
0,0.10603428312482471,0.000333973312618373,0.0031496729432802027
24,0.10684309412240658,0.001481242953156237,0.013863721987115298
48,0.09692146571922605,0.006768798172679905,0.0698379674971959
72,0.10131308666440683,0.04945662119205235,0.4881562966872615
96,-0.07232044805239869,-0.04133602637336398,0.5715676200376213
120,0.05988134445130938,0.05115428871542249,0.8542608584384241
144,-0.06511269189503877,-0.11706186162454801,1.7978347725701607
168,-0.09605941833879605,-0.25602799549286814,2.6653086175253775
192,-0.033376705927695795,-0.10735010150200175,3.2163180433250433
216,0.14014258494084647,0.5337920993364387,3.8089214606805637
240,0.2552013004883271,1.2528186890173592,4.9091391251537235
264,0.297739330975623,1.9625522879356723,6.591511714306747
288,0.31497988330178395,2.803307289147744,8.899956593297363
