time_h,V,TCD,Xv,G,Lac,NH4,P,viability,ml_correction,ml_correction_abs,NH4_mM,batch_id
0,0.8,0.3,0.285,3.0,0.05,0.01,0.0,0.95,,,0.5555555555555556,CHO06
24,0.8,0.8263583204742202,0.7747804044505091,2.6223085376578235,0.4276914623421763,0.01,0.0016882070190201276,0.9375840785458393,0.004621327423795291,7.765868771717182e-06,0.5555555555555556,CHO06
48,0.8600000000000001,2.1273293222603264,1.9666580078147748,1.4570816971496487,1.3641683028503508,0.011949999999999999,0.006165582783532186,0.9244727589826875,0.0055518499837990285,3.404139794225061e-05,0.6638888888888889,CHO06
72,0.9848000000000001,4.6918753326774985,4.26671124532185,1.9974157774093522,3.2051225946836706,0.015239116279069766,0.02060673678225113,0.9093829104122804,0.012190988331877522,0.000248190796565486,0.8466175710594315,CHO06
96,1.1720000000000002,9.217284640956557,8.228439528059898,1.4472448295630258,6.421910943773077,0.018922338692309144,0.03513776911040365,0.8927183925184676,0.012231312702955417,0.00042458777581771273,1.0512410384616193,CHO06
120,1.4153600000000002,12.34879147484769,10.787014216563662,0.0,8.529807777778402,0.022365222357701334,0.3173062184775593,0.8735279268853885,0.022751918766465408,0.007058725751991679,1.2425123532056297,CHO06
144,1.7180480000000002,9.707886691655641,8.1275555199444,0.328249712982139,7.233760663728527,0.02526889743910598,0.5972135703010206,0.8372116175326184,0.07505568478336533,0.0416948388026005,1.4038276355058878,CHO06
168,2.080064,10.70088256311657,8.516170628251661,0.0,7.823578811578749,0.02785462903847957,0.7558657601561796,0.7958381542850401,0.046846983250353864,0.033825412091849416,1.547479391026643,CHO06
