time_h,correction,correction_abs,original_titer
0,0.07834355936526884,0.0002538928273143541,0.0032407619639874263
12,0.07862931483306419,0.000896075913206628,0.011396206556156106
24,0.09165829371373764,0.003161196798413944,0.03448893351960956
36,0.06883336873414522,0.01985612942636633,0.2884666229696903
48,0.06147591888881996,0.02578878071174756,0.4194940259191079
60,0.10017779162446916,0.06681468457230766,0.6669610448468676
72,-0.20322007402895068,-0.15412011960848038,0.7583902345519489
84,-0.12842586066542108,-0.1030722270587291,0.8025815558071752
96,-0.12044386355397299,-0.15991898287195583,1.3277470362804613
108,-0.21371015952703176,-0.3961322656676416,1.8535958540498665
120,-0.21853156338373445,-0.45254121144535553,2.0708276847436795
132,-0.21640018681614712,-0.4788831912384697,2.2129518383703024
144,-0.2117291708735192,-0.4851317513281408,2.2912844239962773
156,-0.20816721608938366,-0.4853745880606537,2.331657199336525
168,-0.06259199967359258,-0.1466074289482564,2.3422710524154993
180,-0.06008325991751826,-0.15956940580004098,2.6558047286231856
192,-0.022337174420515322,-0.06536187972255414,2.9261480656444814
