exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.2,0.96,3.0,0.05,0.0,0.01,0.5555555555555556,0.192,0.2,3.0,0.05,0.01,0.5555555555555556,0.0,0.96,0,CHO09,0.004016580125489091,2.849774967133298e-06
1.0,0.96,0.5,0.5,0.005,0.04,2.2222222222222223,0.5256437251035009,0.5509055469828135,2.7880176900322406,0.17718938598065564,0.01,0.5555555555555556,0.0007123526052601979,0.9541449128300379,24,CHO09,0.006704392330910842,1.787318887177874e-05
2.5,0.95,0.3,1.2,0.02,0.1,5.555555555555556,1.3965383464650092,1.4729095571849333,2.108797307697581,0.5107216153814516,0.0112,0.6222222222222222,0.0026837656351376958,0.9481494227888052,48,CHO09,0.011929026815699184,0.00010236194278510045
4.8,0.95,0.2,2.0,0.05,0.18,10.0,3.473479048201867,3.688174889287891,1.770865652727175,1.3109550699021564,0.013387815384615386,0.7437675213675214,0.008683275068941091,0.9417880530260112,72,CHO09,0.010634695498516169,0.00023938054558270833
7.5,0.94,0.1,2.8,0.1,0.3,16.666666666666668,7.868116445420942,8.416406290101678,0.0,3.0233215281442964,0.016194454802210333,0.8996919334561297,0.022748774031847448,0.934854636791291,96,CHO09,0.04553632728574937,0.007127318659893994
10.5,0.93,0.1,3.5,0.18,0.45,25.000000000000004,6.701132289483227,7.309496446656504,0.9747234607794222,2.965602627014459,0.019202016872918864,1.0667787151621593,0.1636467194268611,0.9167707157923918,120,CHO09,0.07610301055876967,0.029105389675738613
13.0,0.92,0.1,4.0,0.3,0.65,36.111111111111114,10.640666714953566,11.711062209014429,0.0,4.512075796799578,0.022122408549721424,1.229022697206746,0.41155267345648083,0.9085996235903401,144,CHO09,0.08581173514876016,0.05717797085826304
11.0,0.9,0.1,4.3,0.47,0.9,50.00000000000001,8.892512361979154,9.954286627292909,0.0,4.166186935464535,0.024759753814726487,1.375541878595916,0.7234967530054986,0.8933349716490425,168,CHO09,0.08030824207929126,0.07098292124638339
10.5,0.88,0.1,4.4,0.7,1.2,66.66666666666667,7.415823030253449,8.443426425878013,0.0,3.8104363824256278,0.02704391368181423,1.5024396489896796,0.9548638207473255,0.8782954521312472,192,CHO09,0.10308674869019788,0.10747194661418935
9.5,0.85,0.1,4.3,1.0,1.55,86.11111111111111,6.186932804628881,7.173457539165494,0.0,3.467973511459498,0.028983257197638907,1.6101809554243838,1.1500108566070744,0.8624756989010662,216,CHO09,0.206424060868165,0.2473535617634013
8.0,0.82,0.1,4.1,1.38,1.95,108.33333333333334,5.225189851073777,6.236224698719498,0.0,3.2073111649091075,0.030511816188566736,1.695100899364819,1.4456322930464585,0.837877097684867,240,CHO09,0.28193582075141493,0.4147252880593264
