time_h,V,TCD,Xv,G,Lac,NH4,P,viability,ml_correction,ml_correction_abs,NH4_mM,batch_id
0,1.5,0.2,0.192,3.0,0.05,0.01,0.0,0.96,,,0.5555555555555556,CHO09
24,1.5,0.5509055469828135,0.5256437251035009,2.7880176900322406,0.17718938598065564,0.01,0.0007123526052601979,0.9541449128300379,0.004016580125489091,2.849774967133298e-06,0.5555555555555556,CHO09
48,1.56,1.4729095571849333,1.3965383464650092,2.108797307697581,0.5107216153814516,0.0112,0.0026837656351376958,0.9481494227888052,0.006704392330910842,1.787318887177874e-05,0.6222222222222222,CHO09
72,1.68384,3.688174889287891,3.473479048201867,1.770865652727175,1.3109550699021564,0.013387815384615386,0.008683275068941091,0.9417880530260112,0.011929026815699184,0.00010236194278510045,0.7437675213675214,CHO09
96,1.86864,8.416406290101678,7.868116445420942,0.0,3.0233215281442964,0.016194454802210333,0.022748774031847448,0.934854636791291,0.010634695498516169,0.00023938054558270833,0.8996919334561297,CHO09
120,2.1144000000000003,7.309496446656504,6.701132289483227,0.9747234607794222,2.965602627014459,0.019202016872918864,0.1636467194268611,0.9167707157923918,0.04553632728574937,0.007127318659893994,1.0667787151621593,CHO09
144,2.4177600000000004,11.711062209014429,10.640666714953566,0.0,4.512075796799578,0.022122408549721424,0.41155267345648083,0.9085996235903401,0.07610301055876967,0.029105389675738613,1.229022697206746,CHO09
168,2.7804480000000003,9.954286627292909,8.892512361979154,0.0,4.166186935464535,0.024759753814726487,0.7234967530054986,0.8933349716490425,0.08581173514876016,0.05717797085826304,1.375541878595916,CHO09
192,3.2024640000000004,8.443426425878013,7.415823030253449,0.0,3.8104363824256278,0.02704391368181423,0.9548638207473255,0.8782954521312472,0.08030824207929126,0.07098292124638339,1.5024396489896796,CHO09
216,3.6841440000000003,7.173457539165494,6.186932804628881,0.0,3.467973511459498,0.028983257197638907,1.1500108566070744,0.8624756989010662,0.10308674869019788,0.10747194661418935,1.6101809554243838,CHO09
240,4.165488,6.236224698719498,5.225189851073777,0.0,3.2073111649091075,0.030511816188566736,1.4456322930464585,0.837877097684867,0.206424060868165,0.2473535617634013,1.695100899364819,CHO09
