time_h,correction,correction_abs,original_titer
0,0.004016580125489091,2.849774967133298e-06,0.0007095028302930646
24,0.006704392330910842,1.787318887177874e-05,0.002665892446265917
48,0.011929026815699184,0.00010236194278510045,0.008580913126155991
72,0.010634695498516169,0.00023938054558270833,0.02250939348626474
96,0.04553632728574937,0.007127318659893994,0.1565194007669671
120,0.07610301055876967,0.029105389675738613,0.3824472837807422
144,0.08581173514876016,0.05717797085826304,0.6663187821472356
168,0.08030824207929126,0.07098292124638339,0.8838808995009421
192,0.10308674869019788,0.10747194661418935,1.042538909992885
216,0.206424060868165,0.2473535617634013,1.1982787312830572
240,0.28193582075141493,0.4147252880593264,1.4709918269838902
