exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.3,0.95,3.0,0.05,0.0,0.01,0.5555555555555556,0.285,0.3,3.0,0.05,0.01,0.5555555555555556,0.0,0.95,0,CHO06,0.004621327423795291,7.765868771717182e-06
1.2,0.94,1.0,1.0,0.01,0.05,2.777777777777778,0.7747804044505091,0.8263583204742202,2.6223085376578235,0.4276914623421763,0.01,0.5555555555555556,0.0016882070190201276,0.9375840785458393,24,CHO06,0.0055518499837990285,3.404139794225061e-05
3.0,0.93,0.5,2.5,0.04,0.12,6.666666666666667,1.9666580078147748,2.1273293222603264,1.4570816971496487,1.3641683028503508,0.011949999999999999,0.6638888888888889,0.006165582783532186,0.9244727589826875,48,CHO06,0.012190988331877522,0.000248190796565486
6.0,0.92,0.3,4.5,0.1,0.25,13.88888888888889,4.26671124532185,4.6918753326774985,1.9974157774093522,3.2051225946836706,0.015239116279069766,0.8466175710594315,0.02060673678225113,0.9093829104122804,72,CHO06,0.012231312702955417,0.00042458777581771273
9.0,0.9,0.2,6.5,0.2,0.45,25.000000000000004,8.228439528059898,9.217284640956557,1.4472448295630258,6.421910943773077,0.018922338692309144,1.0512410384616193,0.03513776911040365,0.8927183925184676,96,CHO06,0.022751918766465408,0.007058725751991679
11.0,0.87,0.2,7.8,0.35,0.7,38.88888888888889,10.787014216563662,12.34879147484769,0.0,8.529807777778402,0.022365222357701334,1.2425123532056297,0.3173062184775593,0.8735279268853885,120,CHO06,0.07505568478336533,0.0416948388026005
12.0,0.83,0.2,8.5,0.55,1.0,55.55555555555556,8.1275555199444,9.707886691655641,0.328249712982139,7.233760663728527,0.02526889743910598,1.4038276355058878,0.5972135703010206,0.8372116175326184,144,CHO06,0.046846983250353864,0.033825412091849416
12.5,0.78,0.2,8.8,0.8,1.35,75.00000000000001,8.516170628251661,10.70088256311657,0.0,7.823578811578749,0.02785462903847957,1.547479391026643,0.7558657601561796,0.7958381542850401,168,CHO06,0.0284102088682473,0.024752078804095357
