time_h,V,TCD,Xv,G,Lac,NH4,P,viability,ml_correction,ml_correction_abs,NH4_mM,batch_id
0,4.0,0.8,0.784,4.5,0.15,0.03,0.0,0.98,,,1.6666666666666667,CHO08
12,4.0,1.8741637634774377,1.822568488207889,3.852552547656214,0.5384684714062717,0.03,0.0034946547913017804,0.9724702417819584,0.07834355936526884,0.0002538928273143541,1.6666666666666667,CHO08
24,4.0,4.244109029501054,4.094463501280141,2.431234264342979,1.3912594413942125,0.03,0.012292282469362734,0.9647404137875069,0.07862931483306419,0.000896075913206628,1.6666666666666667,CHO08
36,4.1224,8.7696897969909,8.386773820514035,0.0,3.022291527099584,0.030882,0.03765013031802351,0.9563364286148123,0.09165829371373764,0.003161196798413944,1.7156666666666667,CHO08
48,4.3072,8.376559903122299,7.859847453060765,0.2802612773343844,3.067961785197303,0.03211744692412187,0.3083227523960566,0.9383144804027566,0.06883336873414522,0.01985612942636633,1.7843026068956596,CHO08
60,4.5544,12.052083096463257,11.167166834273672,0.0,4.43808854929316,0.03361739285659704,0.44528280663085545,0.9265756587382585,0.06147591888881996,0.02578878071174756,1.8676329364776134,CHO08
72,4.864,11.23280395394942,10.207033720091472,0.6519078678463515,4.377605998166159,0.03528436439436218,0.7337757294191752,0.9086808389015558,0.10017779162446916,0.06681468457230766,1.9602424663534546,CHO08
84,5.236,17.31046075795722,15.545957396351382,0.0,6.48796565614893,0.037026596393806524,0.6042701149434685,0.89806722153281,-0.20322007402895068,-0.15412011960848038,2.0570331329892513,CHO08
96,5.6704,15.87431405183487,13.976373881136261,0.8154410264739018,6.285490138616175,0.03876755256770462,0.6995093287484461,0.8804395475293478,-0.12842586066542108,-0.1030722270587291,2.1537529204280346,CHO08
108,6.1588,20.025437746061577,17.45508503731726,0.0,7.354250077762536,0.040507452279529725,1.1678280534085055,0.8716456168729779,-0.12044386355397299,-0.15991898287195583,2.2504140155294294,CHO08
120,6.64552,18.44285979909738,15.811955894640935,0.04285437446231541,6.9992734942566734,0.04202684388204539,1.457463588382225,0.857348375842167,-0.21371015952703176,-0.3961322656676416,2.334824660113633,CHO08
132,7.13056,18.116045088859355,15.225081244706868,0.0,6.95036060604584,0.04340470829671599,1.618286473298324,0.8404197036399343,-0.21853156338373445,-0.45254121144535553,2.411372683150889,CHO08
144,7.55392,17.040448102252483,13.948508351971935,0.0,6.735016568379089,0.04452069616511682,1.7340686471318327,0.8185529082494114,-0.21640018681614712,-0.4788831912384697,2.473372009173157,CHO08
156,7.91728,16.220765444449057,12.844674941604245,0.0,6.591820274772197,0.04543826037534907,1.8061526726681365,0.7918661413108496,-0.2117291708735192,-0.4851317513281408,2.524347798630504,CHO08
168,8.21896,15.602689474004489,11.853783373723706,0.0,6.507112573171079,0.0462080858240646,1.8462826112758712,0.7597269299932679,-0.20816721608938366,-0.4853745880606537,2.5671158791147,CHO08
180,8.46064,15.143889578144499,10.928155791586095,0.0,6.469394787785218,0.04684083432265425,2.195663623467243,0.7216214655551565,-0.06259199967359258,-0.1466074289482564,2.6022685734807918,CHO08
192,8.64232,14.81869646526447,10.036559108370279,0.0,6.472102796102478,0.04734123308437393,2.4962353228231446,0.6772902820363664,-0.06008325991751826,-0.15956940580004098,2.630068504687441,CHO08
