time_h,correction,correction_abs,original_titer
0,0.051455693413637905,0.00013934427830633502,0.002708043931818883
12,0.05214350735251238,0.0004736979310665003,0.009084504574349048
24,0.05896135297313699,0.0014626084120128828,0.024806222012565653
36,0.05279394682762313,0.003893039321085437,0.07374025915881145
48,0.07007914505235749,0.019974438480168444,0.2850268573517151
60,-0.21176559742087556,-0.07109271696435165,0.33571419451601375
72,-0.19203502412610496,-0.174947473106147,0.9110185701919828
84,-0.23540345845032992,-0.3064275318346854,1.3017121067460506
96,-0.1730679260601617,-0.27319983079316645,1.5785699696788233
108,-0.1919930961455613,-0.35133484442946217,1.829934781420966
120,-0.009839548821143905,-0.019432130792733426,1.974900592085707
132,-0.02181705035892943,-0.05217753558608651,2.39159440564479
144,0.042431307182307546,0.11614630107448898,2.737278410383702
156,0.043115975198790436,0.13782745024503695,3.1966678153415296
168,0.05659660942432145,0.20702054417761273,3.6578259065930707
180,0.05943241690673799,0.2472816888415892,4.160720726360948
192,0.07760863294425854,0.36334469044693307,4.681756096746365
204,0.13676616614592926,0.7248041275479986,5.299586498422677
216,0.22653554933582634,1.4256628632550168,6.2933295345250695
