mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.07310532228808612,0.04600310546175334,0.027601863277052004,0.0,0.00015397196837957134,0.0007,0.0,0,0
0.07140064188042532,0.04500035287063086,0.027000211722378514,0.00012682861695636108,0.00015711164002020085,0.0007,0.0025000000000000022,0,24
0.06597462370256231,0.04180857934940175,0.025085147609641048,9.180208229129384e-05,0.00018230186831880293,0.0007,0.005159999999999998,0,48
0.05798944820171815,0.03711142005311653,0.022266852031869917,5.1292722268003384e-05,0.00017728503402994036,0.0007,0.007700000000000003,0,72
0.0,0.003,0.0018,2.720592970130398e-05,0.0007242441876880566,0.0007,0.010240000000000008,0,96
0.03106850774543225,0.02270620094067406,0.012261348507963992,3.5288618983872884e-05,0.0015064587406930406,0.0005949999999999999,0.012640000000000004,1,120
0.0,0.0024000000000000002,0.0012960000000000003,2.3322184228306653e-05,0.0012393611520600865,0.0005949999999999999,0.015111999999999995,1,144
0.0,0.0024000000000000002,0.0012960000000000003,2.8311233072411974e-05,0.001266029447259685,0.0005949999999999999,0.017584000000000006,1,168
0.0,0.0024000000000000002,0.0012960000000000003,3.37510106512164e-05,0.0012995600606154122,0.0006376136967188212,0.020069999999999994,1,192
0.0,0.0024000000000000002,0.0012960000000000003,3.5796579898929976e-05,0.0013369582306274855,0.0010331075274733442,0.02005599999999998,1,216
0.0,0.0024000000000000002,0.0012960000000000003,3.370048988800147e-05,0.001367337305354163,0.001648072557878326,0.01754200000000002,1,240
