time_h,correction,correction_abs,original_titer
0,0.0508052460874564,0.0001147218515917571,0.002258070975471201
12,0.05162069436732363,0.00034255545339438673,0.0066360101814366065
24,0.056698626509478454,0.0008514137397780779,0.01501647909646883
36,0.060323755172822346,0.0019456763017549616,0.03225389891893777
48,0.0651506752726074,0.005072239898306685,0.07785398811421544
60,0.06698287804802425,0.018546723293395573,0.27688752460141064
72,0.06748903848525675,0.03483408209303751,0.5161442935751286
84,0.06211354935642935,0.0371719636084179,0.5984517708867705
96,0.06716087050170459,0.05497241988707491,0.8185185730384424
108,0.09446029004302536,0.08464120081039173,0.8960506131395405
120,0.1246080794265267,0.2009022547521344,1.6122731020069483
132,0.07360919426533044,0.17307465631789354,2.3512641055957153
144,0.05700039010954308,0.1738548773531985,3.0500646928746433
156,0.04281683313597249,0.15844958911488005,3.7006377517855014
168,0.06364296944863934,0.27369109043257467,4.300413585407047
180,0.04896103720968323,0.24414317421877918,4.986478802995916
192,0.11004057212015969,0.6187812996482478,5.623210491604541
204,0.17586179594946685,1.1636719262299646,6.616968284369966
216,0.22723728269300977,1.8509160246092193,8.145300818042905
