time_h,V,TCD,Xv,G,Lac,NH4,P,viability,ml_correction,ml_correction_abs,NH4_mM,batch_id
0,2.5,0.6,0.582,3.5,0.08,0.02,0.0,0.97,,,1.1111111111111112,CHO05
12,2.5,1.3754566477989891,1.3202249483650195,3.1029517138656333,0.3976386289074933,0.02,0.002847388210125218,0.9598448271544205,0.051455693413637905,0.00013934427830633502,1.1111111111111112,CHO05
24,2.5,3.064574295408331,2.909830386117329,2.244778602790464,1.0841771177676287,0.02,0.009558202505415548,0.9495055774882484,0.05214350735251238,0.0004736979310665003,1.1111111111111112,CHO05
36,2.5924,6.300853853858522,5.912859947910176,0.9468520757686334,2.400073539385093,0.0214208,0.026268830424578535,0.9384220115324933,0.05896135297313699,0.0014626084120128828,1.1900444444444445,CHO05
48,2.7172,11.105201473174596,10.279456866180267,0.0,4.372083635918121,0.023166936460422775,0.07763329847989689,0.9256434375378985,0.05279394682762313,0.003893039321085437,1.2870520255790432,CHO05
60,2.8744,10.462724779672811,9.438045566280966,0.9548328253038934,4.4151908971065055,0.02513887727759543,0.30500129583188357,0.9020638280209174,0.07007914505235749,0.019974438480168444,1.3966042931997462,CHO05
72,3.064,16.717204073341165,14.853472006614258,0.0,6.901567553909125,0.02723798278419434,0.2646214775516621,0.8885141284062572,-0.21176559742087556,-0.07109271696435165,1.5132212657885744,CHO05
84,3.27904,15.543944424538527,13.704069233916528,0.3946743143035041,6.622530839051073,0.029438617308374118,0.7360710970858357,0.8816339572266181,-0.19203502412610496,-0.174947473106147,1.6354787393541177,CHO05
96,3.5224,17.1557781298575,15.026447263443936,0.0,6.970637551975913,0.031645305269434085,0.9952845749113652,0.8758825830984764,-0.23540345845032992,-0.3064275318346854,1.7580725149685603,CHO05
108,3.76576,15.970498160040862,13.861529717109553,0.04418585458387969,6.696766987401117,0.03356620420838609,1.305370138885657,0.8679459825362196,-0.1730679260601617,-0.27319983079316645,1.8647891226881161,CHO05
120,4.00912,15.563080862036166,13.357984359742002,0.0,6.600194618960909,0.03527331674406159,1.478599936991504,0.8583123404779596,-0.1919930961455613,-0.35133484442946217,1.9596287080034218,CHO05
132,4.25248,14.618376947315449,12.364044819240782,0.03433462880076635,6.384213018749682,0.036812501056619505,1.9554684612929736,0.8457877959913561,-0.009839548821143905,-0.019432130792733426,2.045138947589973,CHO05
144,4.49584,14.2430018341875,11.83063563982139,0.0,6.293800277021153,0.03822371188146925,2.3394168700587037,0.830627965758194,-0.02181705035892943,-0.05217753558608651,2.123539548970514,CHO05
156,4.7392,13.472027572121263,10.929831515889195,0.03295647217736471,6.116663322005999,0.03953732257299554,2.853424711458191,0.8112981848780627,0.042431307182307546,0.11614630107448898,2.1965179207219747,CHO05
168,4.98088,13.198000476280638,10.403549264276323,0.0,6.045181398798063,0.040796782270990053,3.3344952655865665,0.7882670774996193,0.043115975198790436,0.13782745024503695,2.266487903943892,CHO05
180,5.19256,12.63710506406049,9.600203928683188,0.0,5.932088835591128,0.041856351221045154,3.8648464507706835,0.7596837946679617,0.05659660942432145,0.20702054417761273,2.3253528456136197,CHO05
192,5.37424,12.194951435014604,8.848667481523012,0.0,5.857247033738521,0.04275612822596952,4.408002415202537,0.7256008790749576,0.05943241690673799,0.2472816888415892,2.3753404569983068,CHO05
204,5.52592,11.850766911498159,8.12534853867697,0.0,5.814258851641218,0.043517879169216664,5.045100787193298,0.68563904761247,0.07760863294425854,0.36334469044693307,2.4176599538453702,CHO05
216,5.6476,11.589814650554988,7.414151825395735,0.0,5.798554487899559,0.04415034768790125,6.024390625970676,0.6397127174972296,0.13676616614592926,0.7248041275479986,2.4527970937722916,CHO05
