time_h,correction,correction_abs,original_titer
0,0.07800578115541829,5.198693651543027e-05,0.0006664497905847754
24,0.09414129734023366,0.00022354445414817393,0.002374563135031671
48,0.07447883164603965,0.0005390681267875615,0.007237870343475327
72,0.07727940068191008,0.002715127194480492,0.03513390593770561
96,0.11157753524247978,0.006085826251238068,0.05454347273411605
120,0.12049773618559563,0.056337429982165954,0.46753932285825417
144,0.12037461704416036,0.10211006442567283,0.8482690697841464
168,0.11511375855735963,0.1349551516612859,1.1723633504160116
192,0.1307641847661208,0.19777329085609052,1.5124423496373989
216,0.18779838725235032,0.351714241773756,1.8728288720666542
240,0.26965714098922033,0.6343385316244747,2.352389146074321
