mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.10770231219430405,0.05685112917158744,0.04548090333726995,0.0,0.0003877497038686832,0.002,0.0,0,0
0.10233677971071607,0.0541683642711759,0.04333469141694072,0.0,0.0003936902553328721,0.002,0.0,0,12
0.0910824229167035,0.048541188687757406,0.038832950950205926,6.185927566732823e-05,0.00044679839834718324,0.002,0.007700000000000003,0,24
0.06755268641333198,0.03677632631850283,0.02942106105480227,3.914277804335791e-05,0.0006868648666939209,0.002,0.010400000000000001,0,36
0.0,0.003,0.0024000000000000002,2.685155795303825e-05,0.0017177052987531814,0.002,0.0131,0,48
0.055312370206870715,0.030656171275349718,0.024524937020279775,3.317517599506634e-05,0.0004488152884119879,0.002,0.015799999999999998,0,60
0.0,0.0024000000000000002,0.001152,2.3071326009606694e-05,0.0037307156199548443,0.0006,0.01792000000000001,1,72
0.014826010522056818,0.010636667936327157,0.005105600609437036,2.6704532993735722e-05,0.0037718108445531683,0.0006,0.020280000000000003,1,84
0.0,0.0024000000000000002,0.001152,2.2777892348834184e-05,0.003616117943266596,0.0007029354225380891,0.020280000000000003,1,96
0.003259482158611441,0.004210822415438348,0.002021194759410407,2.3303756243902095e-05,0.0036607516372656073,0.0009013504365945107,0.020280000000000003,1,108
0.0,0.0024000000000000002,0.001152,2.295962093720335e-05,0.0036560782785151225,0.001142191488051011,0.020280000000000003,1,120
0.0026291232784790637,0.003860623232142129,0.001853099151428222,2.3710610588201244e-05,0.003693728305951606,0.0014553051002160972,0.020280000000000003,1,132
0.0,0.0024000000000000002,0.001152,2.3826993577090355e-05,0.0036944638588380517,0.0018343008560451506,0.020280000000000003,1,144
0.0025546249359809773,0.0038192352870809396,0.001833232937798851,2.4975247531194063e-05,0.003726469489565142,0.0023175453780484323,0.020139999999999974,1,156
0.0,0.0024000000000000002,0.001152,2.2375149052495086e-05,0.00372502470057434,0.002893323062509517,0.017640000000000027,1,168
0.0,0.0024000000000000002,0.001152,2.0522731336983853e-05,0.0037421040220757804,0.0036079051333009586,0.015140000000000006,1,180
0.0,0.0024000000000000002,0.001152,1.853838092143517e-05,0.003749745853492195,0.00445997802312606,0.012639999999999985,1,192
0.0,0.0024000000000000002,0.001152,1.6314441136955558e-05,0.0037493585291840737,0.005459023809688251,0.010139999999999963,1,204
0.0,0.0024000000000000002,0.001152,9.121002688357581e-06,0.003742189409902818,0.006607182062569261,0.004999999999999967,1,216
