time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id,t_shift
0,2.5,0.4,0.388,4.0,0.1,0.0,0.0,0.97,0.0,CHO07,120
12,2.5,0.7965707001570462,0.7666207791523348,3.7597535571330045,0.24414786572019717,0.0,0.0025716919442866455,0.962401427771814,0.0,CHO07,120
24,2.5,1.56817223603977,1.4972519148020167,3.2953375720324494,0.5227974567805304,0.0,0.007678041322907029,0.9547751709870504,0.0,CHO07,120
36,2.56,2.9816812088789675,2.8234780561653796,2.3473386942062007,1.0315967834762796,0.0014399999999999999,0.01789187834376895,0.9469416273468524,0.08,CHO07,120
48,2.65288,5.365594068832049,5.036858121546261,1.334873662110448,1.888049552733731,0.0034971299999999998,0.04051417432422125,0.9387326094615753,0.194285,CHO07,120
60,2.7764800000000003,8.830553899602824,8.210953918469126,0.0,3.1397058166649856,0.006048227197008533,0.0937059741023712,0.9298345281419361,0.33601262205602966,CHO07,120
72,2.9308000000000005,8.339741404001664,7.626488632087537,0.48236912346573996,3.1425539063397405,0.008953574103508,0.4013788745594101,0.9144754330665593,0.4974207835282222,CHO07,120
84,3.1156000000000006,11.559618641595609,10.45201404069685,0.0,4.3180919307443855,0.012074012040478015,0.4971033390486673,0.9041832922659573,0.6707784466932232,CHO07,120
96,3.3308800000000005,10.760878526958717,9.566755155144707,0.4710763198013146,4.24548631383771,0.015283893504056744,0.7615539796746776,0.8890310518028403,0.8491051946698192,CHO07,120
108,3.5766400000000007,14.178752495846835,12.456109864214602,0.0,5.460457448497488,0.018479394492517155,0.8203403812968268,0.8785053457885791,1.0266330273620643,CHO07,120
120,3.8228800000000005,13.202591625706892,11.398646734445343,0.42390714518352335,5.353574733668056,0.021240111779738582,1.0307642960264816,0.8633643346394907,1.180006209985477,CHO07,120
132,4.0662400000000005,15.088910410364033,12.854757597200484,0.0,5.684883843968778,0.02372599320314432,1.7088915319253901,0.851934119005108,1.318110733508018,CHO07,120
144,4.309264000000001,14.187102508329644,11.847895405550997,0.0016252728508974884,5.47839766481839,0.025962278837692344,2.4074577193826583,0.8351173468010656,1.4423488243162415,CHO07,120
156,4.521784,13.51342882371209,11.005631671843823,0.0,5.336165798734221,0.027754959557740683,3.031354933502385,0.8144218477350603,1.5419421976522603,CHO07,120
168,4.7038,12.969470894545907,10.234504648065261,0.0,5.235474764142763,0.02920416103639054,3.601359485614463,0.7891227584595768,1.6224533909105856,CHO07,120
180,4.85548,12.551253847629644,9.521677115951857,0.0,5.172761580882657,0.030373372990116554,4.12966059365494,0.7586235790896751,1.6874096105620309,CHO07,120
192,4.976824,12.237583655004658,8.840457578993796,0.0,5.142209099535908,0.031301695882052144,4.625654088141257,0.7224022182989058,1.7389831045584525,CHO07,120
204,5.067832,12.01380278325298,8.17118458987491,0.0,5.139834672090665,0.032008647254648075,5.0961179841009985,0.6801497192267373,1.778258180813782,CHO07,120
216,5.128504,11.869973737131183,7.50059943243619,0.0,5.163019499131675,0.03249712846006334,5.546196185494685,0.6318968852452564,1.8053960255590746,CHO07,120
