exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.4,0.96,4.0,0.15,0.0,0.0007199999999999999,0.04,0.384,0.4,4.0,0.15,0.0,0.0,0.0,0.96,0,CHO04
1.8,0.95,1.5,1.2,0.02,0.0018,0.1,1.4664967587754028,1.5381607903910446,3.3653332490240824,0.6577334007807342,0.0,0.0,0.0040245820941913705,0.9534092716032485,24,CHO04
4.0,0.94,1.0,3.0,0.08,0.0036,0.2,5.114045776498715,5.404563857728725,0.7102154938882337,2.3798276048894125,0.0072,0.4,0.019537764590310286,0.9462457861767035,48,CHO04
7.5,0.93,0.8,5.5,0.2,0.006299999999999999,0.35,12.502649883323228,13.35557936050118,0.0,6.003674927900672,0.014255999999999998,0.7919999999999999,0.15160677671881403,0.9361368418280325,72,CHO04
11.0,0.92,0.6,7.8,0.45,0.0099,0.55,10.368519474833121,11.428446092198747,0.5144586896959176,5.857531807672888,0.020686838101226027,1.1492687834014461,0.6939215739299818,0.907255403856772,96,CHO04
14.5,0.91,0.5,9.5,0.85,0.0144,0.8,18.962886940089263,21.203087655856756,0.0,10.211825922075983,0.026288807315413283,1.460489295300738,0.7677774301680538,0.894345542869616,120,CHO04
17.0,0.89,0.4,10.8,1.4,0.0198,1.1,15.840512545339774,18.271609771907205,0.4302191836461079,9.89223054403655,0.030734154161319156,1.7074530089621753,1.1392268546746585,0.8669467410416531,144,CHO04
18.5,0.86,0.4,11.0,2.1,0.026099999999999998,1.45,19.180189402749377,22.459888803786388,0.0,10.95491680959563,0.03424756115192871,1.9026422862182617,2.1805639765185987,0.8539752609779571,168,CHO04
19.0,0.82,0.4,10.5,2.9,0.0324,1.8,16.625754709499006,20.05654489819476,0.0,10.357159505119535,0.0371078411621069,2.0615467312281615,3.2524888914054224,0.8289441074666579,192,CHO04
18.5,0.77,0.4,9.8,3.75,0.0387,2.15,14.336754163228694,18.121400037825275,0.0,9.85582919070735,0.039584609655685055,2.199144980871392,4.0955720258353825,0.7911504703446317,216,CHO04
17.5,0.72,0.4,8.5,4.65,0.045,2.5,12.411361050056895,16.84514639386832,0.0,9.591117486063835,0.04139542045830499,2.299745581016944,4.824500332363904,0.7367915220122199,240,CHO04
16.0,0.66,0.4,7.0,5.55,0.0513,2.85,10.533667108564742,15.92197793570711,0.0,9.437238339911724,0.0429077753157772,2.3837652953209556,5.448062555507795,0.6615803106309814,264,CHO04
14.5,0.6,0.4,5.5,6.4,0.0576,3.2,8.604449724074609,15.260643742213981,0.0,9.360758246807764,0.044203957185666685,2.455775399203705,5.977264174829507,0.5638326842184899,288,CHO04
