mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.07676057012625125,0.04815324998411839,0.028891949990471035,0.0,0.00016466446618370825,0.0007,0.0,0,0
0.0748867021504235,0.04705097535261657,0.02823058521156994,6.144539270059091e-05,0.0001684552765315805,0.0007,0.0025000000000000022,0,24
0.0688828496260227,0.04351929947454308,0.02611157968472585,4.311805961442075e-05,0.00019880343045649938,0.0007,0.005159999999999998,0,48
0.05924463752515374,0.037849766279639686,0.02270985976778381,2.3433808397811627e-05,0.0002067297881323497,0.0007,0.007700000000000003,0,72
0.0,0.003,0.0018,1.2266287610888375e-05,0.0007545273097809198,0.0007,0.010240000000000008,0,96
0.034529675052846945,0.024968400316631785,0.013482936170981164,1.591051489876096e-05,0.0015742172067558981,0.0005949999999999999,0.012640000000000004,1,120
0.0,0.0024000000000000002,0.0012960000000000003,9.992489050797678e-06,0.00125992744097733,0.0005949999999999999,0.015111999999999995,1,144
0.0,0.0024000000000000002,0.0012960000000000003,1.2130068252668038e-05,0.001295809466103008,0.0005949999999999999,0.017584000000000006,1,168
0.0,0.0024000000000000002,0.0012960000000000003,1.4444849425703594e-05,0.0013388865446993651,0.000613354882965943,0.020069999999999994,1,192
0.0,0.0024000000000000002,0.0012960000000000003,1.529994024153508e-05,0.001385997389972573,0.000994221976977787,0.02005599999999998,1,216
0.0,0.0024000000000000002,0.0012960000000000003,1.4375005682775709e-05,0.0014246804249838177,0.001587107398483055,0.01754200000000002,1,240
