exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.3,0.95,3.0,0.05,0.0,0.00017999999999999998,0.01,0.285,0.3,3.0,0.05,0.0,0.0,0.0,0.95,0,CHO06
1.2,0.94,1.0,1.0,0.01,0.0009,0.05,0.7997822996635584,0.852676104909009,2.604450053833134,0.445549946166866,0.0,0.0,0.0017971384523489942,0.9379672950362611,24,CHO06
3.0,0.93,0.5,2.5,0.04,0.0021599999999999996,0.11999999999999998,2.0919915942739467,2.261042328751821,1.3651147288943026,1.4561352711056972,0.0027,0.15000000000000002,0.0067281052701039555,0.925233273022714,48,CHO06
6.0,0.92,0.3,4.5,0.1,0.0045,0.25,4.603974148098644,5.05741198671487,1.7421784797685171,3.460359892324506,0.007331441860465116,0.40730232558139534,0.023502367488457934,0.9103419219538875,72,CHO06
9.0,0.9,0.2,6.5,0.2,0.0081,0.45,8.851910601401833,9.905787543408511,0.9573428792351621,6.91181289410094,0.012517829029150055,0.695434946063892,0.041344978457799705,0.8936099792784324,96,CHO06
11.0,0.87,0.2,7.8,0.35,0.012599999999999998,0.7,11.203076839306716,12.822161939014094,0.0,8.908038529188278,0.017290577431424835,0.9605876350791576,0.33598911311967217,0.8737276047979885,120,CHO06
12.0,0.83,0.2,8.5,0.55,0.018,1.0,8.442383179731568,10.08002244588422,0.30428450591213907,7.551473650381772,0.021277781460151045,1.1820989700083915,0.5830960959940238,0.8375361488583473,144,CHO06
12.5,0.78,0.2,8.8,0.8,0.0243,1.35,8.74696459700599,10.990812643376525,0.0,8.088282278505746,0.024701713378080806,1.3723174098933781,0.7201449789597121,0.795843299383075,168,CHO06
