time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id,t_shift
0,1.5,0.2,0.192,3.0,0.05,0.0,0.0,0.96,0.0,CHO09,120
24,1.5,0.5684507366060061,0.5424871071417657,2.7781098240731823,0.18313410555609055,0.0,0.0007587738601745277,0.9543256296592051,0.0,CHO09,120
48,1.56,1.5673783311274336,1.4866755293674006,2.0543962909365074,0.5433622254380954,0.0015999999999999999,0.0029216584813287457,0.9485109624413509,0.08888888888888889,CHO09,120
72,1.68384,4.023841890288218,3.791681995175731,1.5750372243041495,1.4284521269559718,0.004549907692307692,0.00974409798831366,0.9423039221116468,0.25277264957264955,CHO09,120
96,1.86864,9.245474290420074,8.648346428126278,0.0,3.3189503572413286,0.008326499921059556,0.02715408003668504,0.9354140367993317,0.46258332894775317,CHO09,120
120,2.1144000000000003,8.029526990986454,7.365640036235309,0.9185469020246382,3.2560568466693502,0.012368840542795365,0.1763851666874943,0.9173192947110843,0.6871578079330759,CHO09,120
144,2.4177600000000004,12.821147381182861,11.655904533376088,0.0,4.942311637580124,0.01626961075322745,0.4192424565657883,0.9091155562631658,0.9038672640681917,CHO09,120
168,2.7804480000000003,10.89784800432724,9.740956833788779,0.0,4.563461086477392,0.019784933785758983,0.7001631658647164,0.8938422365517402,1.0991629880977214,CHO09,120
192,3.2024640000000004,9.243774191979675,8.123374934351864,0.0,4.173802336435681,0.022824171125737695,0.8861900784093453,0.8787941771013921,1.2680095069854276,CHO09,120
216,3.6841440000000003,7.853425650109175,6.779665726646221,0.0,3.7986935829215347,0.02539480489879401,1.002381852745152,0.8632749616152504,1.4108224943774452,CHO09,120
240,4.165488,6.827353022077766,5.729035189783082,0.0,3.5132580735158343,0.027387472112450545,1.0852152934126205,0.8391297727328544,1.5215262284694748,CHO09,120
