time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id,t_shift
0,4.0,0.8,0.784,4.5,0.15,0.0,0.0,0.98,0.0,CHO08,96
12,4.0,2.035287522380259,1.9804697719326538,3.759669494219913,0.5941983034680522,0.0,0.003915920706484807,0.973066335913318,0.0,CHO08,96
24,4.0,4.96941604569007,4.799923007313699,2.008901987250786,1.6446588076495285,0.0,0.014435071128703514,0.9658927655044356,0.0,CHO08,96
36,4.1224,10.774785926122611,10.320889161769195,0.0,3.728918477245589,0.0017999999999999995,0.05027006522992332,0.957874173327845,0.09999999999999998,CHO08,96
48,4.3072,10.291771070905392,9.672445701711087,0.21063312504919865,3.7846887733312005,0.004339142247234621,0.3923023006161414,0.939823246657213,0.24106345817970115,CHO08,96
60,4.5544,14.340528147910812,13.303457700117889,0.0,5.315308920974763,0.007433348236388503,0.56352510769291,0.9276825485716851,0.4129637909104724,CHO08,96
72,4.864,13.365684586828522,12.15965010231225,0.5750013966759597,5.241338374130748,0.010880264490124258,0.848790004291883,0.9097663515339288,0.6044591383402366,CHO08,96
84,5.236,20.58102847413759,18.505053483890435,0.0,7.748155848107349,0.014488928472376268,0.8944121736708561,0.8991316205185832,0.8049404706875705,CHO08,96
96,5.6704,18.873542078193097,16.6367075109814,0.7089135673224958,7.505046267603494,0.018099701862674157,1.1262100010238694,0.8814830540052052,1.0055389923707865,CHO08,96
108,6.1588,23.650347233243394,20.637757792804575,0.0,8.734123507587453,0.02161975434755528,1.863121206015884,0.872619652864789,1.2010974637530714,CHO08,96
120,6.64552,21.781298554058452,18.701059290016488,0.0,8.311345198258604,0.024626634226342363,2.6377534676521286,0.8585833045538035,1.368146345907909,CHO08,96
132,7.13056,20.19153566858666,16.980327603896257,0.0,7.947086482676408,0.027268415060293583,3.2917541560054397,0.8409626629000637,1.514911947794088,CHO08,96
144,7.55392,18.99271137699486,15.559348975658644,0.0,7.695312215198433,0.029340276341968966,3.8743825437260897,0.8192273692162292,1.6300153523316092,CHO08,96
156,7.91728,18.07912060479382,14.331187842554803,0.0,7.526800104502744,0.030985860228863835,4.406421752168959,0.7926927507057382,1.7214366793813243,CHO08,96
168,8.21896,17.390233878032333,13.229174384481528,0.0,7.425731143049526,0.03230424429325933,4.9028132011014645,0.7607243512229509,1.7946802385144074,CHO08,96
180,8.46064,16.878870916825214,12.200105023085202,0.0,7.378826280564716,0.033343851930092885,5.372222114896634,0.7228033843735294,1.8524362183384937,CHO08,96
192,8.64232,16.51642159051316,11.209059534097122,0.0,7.378490025718416,0.03413236440351335,5.821524025396469,0.6786615050160426,1.8962424668618532,CHO08,96
