mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.08261889586605128,0.05159932192160551,0.030959593152963306,0.0,0.0005523393351131111,0.0013,0.0,0,0
0.08072118140618283,0.05048301995480169,0.030289811972881015,0.0,0.0005550711987686356,0.0013,0.0,0,12
0.07711446236335427,0.048361421765842655,0.02901685305950559,8.014683355129837e-05,0.000578733050297832,0.0013,0.0050000000000000044,0,24
0.0696500790083257,0.04397061061042065,0.02638236636625239,6.225699173264762e-05,0.0006868430598919297,0.0013,0.007740000000000006,0,36
0.05769705250286973,0.03693942268438062,0.022163653610628373,4.49028520952352e-05,0.0009112722864382809,0.0013,0.010300000000000012,0,48
0.0,0.003,0.0018,3.289827292227538e-05,0.0031754449707076934,0.0013,0.012860000000000019,0,60
0.03742856956988865,0.02501679267829175,0.015010075606975048,4.026537047581913e-05,0.0013225089221041353,0.0013,0.015400000000000006,0,72
0.0,0.003,0.0018,3.2243903998754566e-05,0.0023823096849160037,0.0013,0.017939999999999994,0,84
0.032616887542410974,0.02218639315059872,0.013311835890359232,3.765803026331806e-05,0.001001520428708935,0.0013,0.020480000000000016,0,96
0.0,0.003,0.0018,2.698115876270485e-05,0.0017856141659872808,0.001337366355285523,0.020519999999999983,0,108
0.017211141587915015,0.013649104796607987,0.004913677726778875,2.8058898860298047e-05,0.005437374014460594,0.0012608916340127326,0.020280000000000003,1,120
0.0,0.0024000000000000002,0.0008640000000000001,2.368967115864201e-05,0.005190686891972163,0.0015466470248723012,0.02025200000000001,1,132
0.000152672352041544,0.0024997857857880774,0.0008999228828837078,2.16146868624113e-05,0.005223331488455659,0.001967066329973359,0.017709999999999965,1,144
0.0,0.0024000000000000002,0.0008640000000000001,1.9432670176862576e-05,0.005239939305040739,0.002484453806623492,0.015167999999999996,1,156
0.0,0.0024000000000000002,0.0008640000000000001,1.7188074869074894e-05,0.005247213037708073,0.00311693103851058,0.012639999999999985,1,168
0.0,0.0024000000000000002,0.0008640000000000001,1.4767953607048067e-05,0.005244160507544577,0.0038794105227581213,0.010111999999999973,1,180
0.0,0.0024000000000000002,0.0008640000000000001,1.2059570730218398e-05,0.005232103572698766,0.004784944542527355,0.007584000000000035,1,192
0.0,0.0024000000000000002,0.0008640000000000001,8.889859499216051e-06,0.005212308724448104,0.005841257019331568,0.005056000000000023,1,204
0.0,0.0024000000000000002,0.0008640000000000001,4.9988570079934825e-06,0.005186025015053009,0.007047577868868589,0.0025280000000000116,1,216
