exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.8,0.98,4.5,0.15,0.0,0.0005399999999999999,0.029999999999999995,0.784,0.8,4.5,0.15,0.0,0.0,0.0,0.98,0,CHO08
1.8,0.98,3.8,0.6,0.01,0.0007199999999999999,0.04,1.9804697719326538,2.035287522380259,3.759669494219913,0.5941983034680522,0.0,0.0,0.003915920706484807,0.973066335913318,12,CHO08
3.5,0.97,2.5,1.5,0.03,0.0010799999999999998,0.05999999999999999,4.799923007313699,4.96941604569007,2.008901987250786,1.6446588076495285,0.0,0.0,0.014435071128703514,0.9658927655044356,24,CHO08
6.0,0.97,1.5,2.8,0.07,0.00162,0.09,10.320889161769195,10.774785926122611,0.0,3.728918477245589,0.0017999999999999995,0.09999999999999998,0.05027006522992332,0.957874173327845,36,CHO08
9.0,0.96,1.0,4.2,0.14,0.00252,0.14,9.672445701711087,10.291771070905392,0.21063312504919865,3.7846887733312005,0.004339142247234621,0.24106345817970115,0.3923023006161414,0.939823246657213,48,CHO08
12.5,0.95,0.6,5.5,0.25,0.0036,0.2,13.303457700117889,14.340528147910812,0.0,5.315308920974763,0.007433348236388503,0.4129637909104724,0.56352510769291,0.9276825485716851,60,CHO08
16.0,0.94,0.4,6.6,0.42,0.00504,0.28,12.15965010231225,13.365684586828522,0.5750013966759597,5.241338374130748,0.010880264490124258,0.6044591383402366,0.848790004291883,0.9097663515339288,72,CHO08
18.5,0.93,0.3,7.5,0.65,0.00684,0.38,18.505053483890435,20.58102847413759,0.0,7.748155848107349,0.014488928472376268,0.8049404706875705,0.8944121736708561,0.8991316205185832,84,CHO08
20.0,0.91,0.2,8.2,0.95,0.009,0.5,16.6367075109814,18.873542078193097,0.7089135673224958,7.505046267603494,0.018099701862674157,1.0055389923707865,1.1262100010238694,0.8814830540052052,96,CHO08
20.5,0.89,0.2,8.6,1.32,0.0117,0.65,20.637757792804575,23.650347233243394,0.0,8.734123507587453,0.02161975434755528,1.2010974637530714,1.863121206015884,0.872619652864789,108,CHO08
20.8,0.87,0.2,8.8,1.77,0.014759999999999999,0.82,18.701059290016488,21.781298554058452,0.0,8.311345198258604,0.024626634226342363,1.368146345907909,2.6377534676521286,0.8585833045538035,120,CHO08
20.8,0.84,0.2,8.8,2.3,0.018,1.0,16.980327603896257,20.19153566858666,0.0,7.947086482676408,0.027268415060293583,1.514911947794088,3.2917541560054397,0.8409626629000637,132,CHO08
20.5,0.81,0.2,8.6,2.92,0.021599999999999998,1.2,15.559348975658644,18.99271137699486,0.0,7.695312215198433,0.029340276341968966,1.6300153523316092,3.8743825437260897,0.8192273692162292,144,CHO08
20.0,0.77,0.2,8.3,3.63,0.025199999999999997,1.4,14.331187842554803,18.07912060479382,0.0,7.526800104502744,0.030985860228863835,1.7214366793813243,4.406421752168959,0.7926927507057382,156,CHO08
19.3,0.73,0.2,7.8,4.43,0.02916,1.62,13.229174384481528,17.390233878032333,0.0,7.425731143049526,0.03230424429325933,1.7946802385144074,4.9028132011014645,0.7607243512229509,168,CHO08
18.5,0.68,0.2,7.2,5.32,0.03312,1.8399999999999999,12.200105023085202,16.878870916825214,0.0,7.378826280564716,0.033343851930092885,1.8524362183384937,5.372222114896634,0.7228033843735294,180,CHO08
17.5,0.63,0.2,6.5,6.3,0.037079999999999995,2.06,11.209059534097122,16.51642159051316,0.0,7.378490025718416,0.03413236440351335,1.8962424668618532,5.821524025396469,0.6786615050160426,192,CHO08
