exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.5,0.98,5.5,0.1,0.0,0.0,0.0,0.49,0.5,5.5,0.1,0.0,0.0,0.0,0.98,0,CHO03
2.2,0.97,0.5,2.2,0.05,0.0026999999999999997,0.15,2.0106985577686665,2.0721332222129254,4.279574328751542,1.3204256712484583,0.0,0.0,0.005278001301175622,0.9703519716851747,24,CHO03
4.5,0.96,0.4,4.5,0.15,0.005399999999999999,0.3,6.975180211029171,7.272842141939613,0.0,5.383332317128046,0.0096,0.5333333333333333,0.02586799469733695,0.9590721309357255,48,CHO03
7.8,0.95,0.3,6.2,0.35,0.009,0.5,5.459112765989202,5.98880932239717,1.566752542047279,4.9351086901257455,0.018249931034482754,1.0138850574712641,0.5006144494682598,0.9115522756039353,72,CHO03
11.5,0.94,0.3,7.8,0.7,0.013499999999999998,0.75,12.761999634822029,14.244637179004954,0.0,10.984603045257295,0.025514656231555966,1.4174809017531094,0.4732297928282055,0.8959160892937188,96,CHO03
14.2,0.91,0.3,9.0,1.2,0.0189,1.05,10.221414586073093,11.728546884521464,0.6557294051788962,9.595664702433378,0.03143904935894455,1.7466138532746975,1.3272158264950924,0.871498804303082,120,CHO03
16.5,0.87,0.3,9.5,1.85,0.025199999999999997,1.4,13.339406191344796,15.629294285682853,0.0,11.69455003336626,0.03627802542450737,2.0154458569170766,1.8942638732360786,0.8534874286399675,144,CHO03
17.8,0.82,0.3,9.2,2.6,0.0315,1.7500000000000002,10.871398298451279,13.336964747861437,0.49292964524436833,10.555586985302305,0.03986651454875651,2.2148063638198066,2.4987323155880587,0.8151328659839557,168,CHO03
18.0,0.78,0.3,8.8,3.4,0.0378,2.1,13.290805220025039,17.123438215454655,0.0,12.544019156914793,0.04285522099428636,2.380845610793687,2.9351090816113197,0.7761762008770823,192,CHO03
