time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id,t_shift
0,8.0,0.4,0.384,4.0,0.15,0.0,0.0,0.96,0.0,CHO04,144
24,8.0,1.5381607903910446,1.4664967587754028,3.3653332490240824,0.6577334007807342,0.0,0.0040245820941913705,0.9534092716032485,0.0,CHO04,144
48,8.96,5.404563857728725,5.114045776498715,0.7102154938882337,2.3798276048894125,0.0072,0.019537764590310286,0.9462457861767035,0.4,CHO04,144
72,10.179200000000002,13.35557936050118,12.502649883323228,0.0,6.003674927900672,0.014255999999999998,0.15160677671881403,0.9361368418280325,0.7919999999999999,CHO04,144
96,11.648000000000001,11.428446092198747,10.368519474833121,0.5144586896959176,5.857531807672888,0.020686838101226027,0.6939215739299818,0.907255403856772,1.1492687834014461,CHO04,144
120,13.366400000000002,21.203087655856756,18.962886940089263,0.0,10.211825922075983,0.026288807315413283,0.7677774301680538,0.894345542869616,1.460489295300738,CHO04,144
144,15.214400000000001,18.271609771907205,15.840512545339774,0.4302191836461079,9.89223054403655,0.030734154161319156,1.1392268546746585,0.8669467410416531,1.7074530089621753,CHO04,144
168,17.04128,22.459888803786388,19.180189402749377,0.0,10.95491680959563,0.03424756115192871,2.1805639765185987,0.8539752609779571,1.9026422862182617,CHO04,144
192,18.8648,20.05654489819476,16.625754709499006,0.0,10.357159505119535,0.0371078411621069,3.2524888914054224,0.8289441074666579,2.0615467312281615,CHO04,144
216,20.68496,18.121400037825275,14.336754163228694,0.0,9.85582919070735,0.039584609655685055,4.0955720258353825,0.7911504703446317,2.199144980871392,CHO04,144
240,22.14176,16.84514639386832,12.411361050056895,0.0,9.591117486063835,0.04139542045830499,4.824500332363904,0.7367915220122199,2.299745581016944,CHO04,144
264,23.3552,15.92197793570711,10.533667108564742,0.0,9.437238339911724,0.0429077753157772,5.448062555507795,0.6615803106309814,2.3837652953209556,CHO04,144
288,24.32528,15.260643742213981,8.604449724074609,0.0,9.360758246807764,0.044203957185666685,5.977264174829507,0.5638326842184899,2.455775399203705,CHO04,144
