time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id,t_shift
0,2.5,0.6,0.582,3.5,0.08,0.0,0.0,0.97,0.0,CHO05,72
12,2.5,1.4530019248525026,1.3954438671069276,3.0653422732993993,0.4277261813604804,0.0,0.003084161144571506,0.9603867986951099,0.0,CHO05,72
24,2.5,3.4062202410441786,3.2377983001363377,2.0771842201245985,1.2182526239003213,0.0,0.010644859639770337,0.9505545945390158,0.0,CHO05,72
36,2.5924,7.274610058307202,6.837206855200375,0.4654593320194209,2.785187734384463,0.00216,0.0309802252464966,0.939872625528933,0.12000000000000001,CHO05,72
48,2.7172,11.902635424546977,11.022868242657845,0.0,4.719578378327064,0.004833365221416448,0.1243544593202909,0.9260863539452132,0.26852029007869155,CHO05,72
60,2.8744,11.21402424806428,10.120605991119271,0.9280700157507006,4.763992039996703,0.007865970472113244,0.3636845086634207,0.9024954616864013,0.43699835956184696,CHO05,72
72,3.064,18.253212123704554,16.230546559055696,0.0,7.5493861471989065,0.01110442440980018,0.39953785496008026,0.8891885137289277,0.6169124672111211,CHO05,72
84,3.27904,16.972151178834636,14.974581946265436,0.3550145671931907,7.243920409158429,0.014437356712318642,1.1322860276817772,0.8823031204753645,0.8020753729065913,CHO05,72
96,3.5224,18.694058347440617,16.38600902428228,0.0,7.614803804204291,0.017757390890154268,1.7525458071037243,0.8765356735139147,0.9865217161196816,CHO05,72
108,3.76576,17.402499739834113,15.118902619787171,0.0050304758717354126,7.315222853451326,0.02063476152717314,2.3641300200830004,0.8687776380297932,1.146375640398508,CHO05,72
120,4.00912,16.367222542287852,14.059719903196891,0.0,7.072184468918141,0.023173946999738758,2.891702229661142,0.8590168470472564,1.2874414999854866,CHO05,72
132,4.25248,15.373705940666754,13.01653724531976,0.014124645149265563,6.8372531216177075,0.025444706902865835,3.3517946663654485,0.8466753101402976,1.413594827936991,CHO05,72
144,4.49584,14.711337934412398,12.231875920006777,0.0,6.675005384499646,0.027503056203724088,3.752077695801388,0.8314591082429202,1.5279475668735605,CHO05,72
156,4.7392,13.915012620406873,11.303570628422706,0.021400752108025542,6.482780527319817,0.029393951285342026,4.106345249910026,0.8123291682715119,1.6329972936301127,CHO05,72
168,4.98088,13.498864402428786,10.65465897633213,0.0,6.372015368452134,0.031167122017994868,4.414917460235791,0.7893003928845368,1.7315067787774927,CHO05,72
180,5.19256,12.925182720335235,9.835226239704665,0.0,6.24850418776546,0.03263296682388212,4.7152982974890705,0.7609351799902117,1.8129426013267846,CHO05,72
192,5.37424,12.47294967986377,9.068983748134322,0.0,6.165840428817313,0.033852498740931436,5.001960180452979,0.7270921458759042,1.880694374496191,CHO05,72
204,5.52592,12.12091906577848,8.331712717334412,0.0,6.117188305216311,0.03486270359170935,5.277450190682267,0.6873829180872678,1.9368168662060752,CHO05,72
216,5.6476,11.854018091474849,7.606812157927993,0.0,6.097666254887975,0.03568317586960754,5.543535208801362,0.6417074867971263,1.9823986594226415,CHO05,72
