time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM,batch_id
0,1.5,0.25,0.24,4.0,0.1,0.0,0.0,0.96,0.0,CHO01
24,1.5,0.6586830399334681,0.6291677183361294,3.7317503292959633,0.23412483535201833,0.0,0.0006840132833825924,0.9551904029587281,0.0,CHO01
48,1.62,1.6591282866456032,1.576478402799201,2.7440923975581457,0.5599538012209269,0.0032,0.0024764563881195965,0.9501847539387672,0.1777777777777778,CHO01
72,1.86,3.862546586188385,3.649323362657486,0.731714903692442,1.2799203259315566,0.008651851851851852,0.007694151864424656,0.9447972422408216,0.4806584362139918,CHO01
96,2.2344,7.025737014595475,6.58972588771199,1.77809500921991,2.3609350043506185,0.014652253285543608,0.03764829358854389,0.9379408699788074,0.8140140714190894,CHO01
120,2.7336,13.234797638400298,12.326473229236843,0.48469789710255173,4.429764213616817,0.019971620972554276,0.052871266614976244,0.9313684701511428,1.1095344984752376,CHO01
144,3.34368,15.563995005175462,14.357511187778261,0.0,5.295656470722017,0.024294021278767362,0.44064613595398655,0.9224823821264392,1.349667848820409,CHO01
168,3.9504,12.739864989880918,11.591209728307701,0.0,4.803374097132467,0.027063524164733205,0.7780661076130357,0.9098377210052402,1.503529120262956,CHO01
192,4.49376,10.98755306174663,9.86683686397209,0.0,4.521028378538799,0.0288088571714795,1.0169856098980377,0.8980012936932852,1.6004920650821945,CHO01
216,4.97712,9.805704532246644,8.69482944591783,0.0,4.356788879176351,0.02998269618326332,1.2065649253810944,0.8867113441287533,1.665705343514629,CHO01
240,5.39712,8.978238868661359,7.8635502687565335,0.0,4.272935467939744,0.030828017896026808,1.370367977448524,0.8758455175662948,1.7126676608903784,CHO01
