mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.06385673829304718,0.04391043648913168,0.02195521824456584,0.0,0.00012810608368145725,0.00055,0.0,0,0
0.06253546627748584,0.043084641995527403,0.021542320997763702,0.00022051440702558738,0.000131566042382202,0.00055,0.0050000000000000044,0,24
0.05843752916727911,0.040523432902403886,0.020261716451201943,0.00016960929165925505,0.000158304366017235,0.00055,0.01,0,48
0.044782382266174085,0.03198897142325166,0.01599448571162583,9.887159732480442e-05,0.0003308601261058283,0.00055,0.015599999999999994,0,72
0.0465294426169342,0.03308088346003171,0.016540441730015856,5.899054276147525e-05,0.00014890226874142543,0.00055,0.020800000000000003,0,96
0.02184651836115294,0.01837118277081262,0.007807752677595363,3.205822740138934e-05,0.0016351802123382995,0.00046750000000000003,0.025419999999999998,1,120
0.0,0.0032,0.00136,2.0318310287052502e-05,0.001438482064606461,0.00046750000000000003,0.025280000000000007,1,144
0.0,0.0032,0.00136,1.9171854840988252e-05,0.0014896603349145022,0.00046750000000000003,0.022639999999999993,1,168
0.0,0.0032,0.00136,1.7599228266431346e-05,0.0015202291793775507,0.00046750000000000003,0.02014000000000001,1,192
0.0,0.0032,0.00136,1.5777940712786705e-05,0.0015378743132557458,0.00046750000000000003,0.017499999999999998,1,216
0.0,0.0032,0.00136,1.3789927020802642e-05,0.0015455588877421385,0.00046750000000000003,0.015000000000000013,1,240
