mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.06811383998891135,0.04657112338611748,0.02328556169305874,0.0,0.00011875230614281118,0.00055,0.0,0,0
0.06661903538695862,0.04563687109380471,0.022818435546902355,0.00021192017557089722,0.0001223285483329035,0.00055,0.0050000000000000044,0,24
0.061508582108633435,0.042442839791121026,0.021221419895560513,0.00015662350959486215,0.00014760160722412032,0.00055,0.01,0,48
0.042509559310934225,0.030568457964047665,0.015284228982023832,8.83946455559868e-05,0.00035968882566530673,0.00055,0.015599999999999994,0,72
0.04613229209234125,0.03283266453729795,0.016416332268648973,5.433275345952643e-05,0.00014943838724428685,0.00055,0.020800000000000003,0,96
0.016632026219600256,0.014750010187215324,0.006268754329566513,2.9677423718486005e-05,0.0013506654114305468,0.00046750000000000003,0.025419999999999998,1,120
0.0,0.0032,0.00136,2.083032898871811e-05,0.001211260400053988,0.00046750000000000003,0.025280000000000007,1,144
0.0,0.0032,0.00136,1.965498301875113e-05,0.0012435394750898781,0.00046750000000000003,0.022639999999999993,1,168
0.0,0.0032,0.00136,1.804272646485373e-05,0.0012625154540861364,0.00046750000000000003,0.02014000000000001,1,192
0.0,0.0032,0.00136,1.6175542708453928e-05,0.0012728849548689135,0.00046750000000000003,0.017499999999999998,1,216
0.0,0.0032,0.00136,1.4137431337328126e-05,0.001276357944654279,0.00046750000000000003,0.015000000000000013,1,240
