exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.25,0.96,4.0,0.1,0.0,0.02,1.1111111111111112,0.24,0.25,4.0,0.1,0.02,1.1111111111111112,0.0,0.96,0,CHO01,0.09355263505529889,6.903165136328611e-05
1.2,0.955,2.5,0.6,0.008,0.05,2.777777777777778,0.6046468125679517,0.6331404297582831,3.7470758858226016,0.22646205708869924,0.02,1.1111111111111112,0.0008069226933684799,0.9549963707084548,24,CHO01,0.09952257976322106,0.0002638933354304463
3.0,0.95,1.0,1.5,0.035,0.12,6.666666666666667,1.4557786182077972,1.5327387632351086,2.8220860200793463,0.5209569899603268,0.021599999999999998,1.2,0.0029154859293753312,0.949789131146606,48,CHO01,0.09846295719489322,0.0007891322326973298
5.8,0.945,0.4,2.4,0.09,0.22,12.222222222222223,3.2626219651491652,3.4553335422438476,0.9881636705530634,1.151695942501246,0.024325925925925924,1.351440329218107,0.008803640989887684,0.9442277931381589,72,CHO01,0.09966576769315594,0.0032828777267197573
8.5,0.94,0.2,3.2,0.18,0.35,19.444444444444446,6.069412744185447,6.4735219600033975,2.155393529087731,2.1722857444167083,0.027171287933094385,1.5095159962830216,0.03622174733766632,0.937575060637048,96,CHO01,0.10255546170857048,0.005109233602519719
11.2,0.935,0.1,3.8,0.3,0.5,27.77777777777778,11.411047915979982,12.256260481582567,1.1515433820793828,4.096341471128402,0.029693706955560947,1.6496503864200527,0.054928458414149076,0.9310382994166383,120,CHO01,0.1125424747704645,0.0552007892518071
12.8,0.93,0.1,4.2,0.48,0.7,38.88888888888889,14.719318549397311,15.947088875202585,0.0,5.320398604488103,0.03184634935406526,1.7692416307814034,0.5456892858340234,0.9230097520987399,144,CHO01,0.1650648799470435,0.15760986836780533
12.5,0.92,0.1,4.4,0.72,0.95,52.77777777777778,11.883306663140113,13.053445415791721,0.0,4.835436094459386,0.0332454613862877,1.8469700770159836,1.1124457390773719,0.9103578622057894,168,CHO01,0.1329046901362158,0.18397782749039893
11.8,0.91,0.1,4.3,1.02,1.25,69.44444444444444,10.115479833257615,11.258001890800685,0.0,4.558214434281092,0.03414049634506319,1.8966942413923997,1.5682617628566935,0.8985146681777816,192,CHO01,0.17944701995918305,0.3173778898697577
10.5,0.9,0.1,4.1,1.38,1.6,88.8888888888889,8.91393798502404,10.047063212736564,0.0,4.398090816811846,0.034740850989425656,1.9300472771903143,2.086021860340532,0.887218264310702,216,CHO01,0.26265713430855997,0.5880879827888839
9.0,0.88,0.1,3.8,1.8,2.0,111.11111111111111,8.061710683781628,9.199230219087756,0.0,4.317903796744645,0.03518465033210601,1.9547027962281116,2.827082877547843,0.8763462259107447,240,CHO01,0.3333400184321483,0.9792017977604646
